pl_discmethod,Period[days],Mass[Jupiter Mass]
Radial Velocity,157.57001,1.61
Radial Velocity,383.70001,1.03
Radial Velocity,5.75969,0.0416
Radial Velocity,16.357,0.0378
Radial Velocity,49.748,0.0805
Radial Velocity,122.744,0.0722
Radial Velocity,604.67,0.0732
Radial Velocity,2205.0,0.2066
Radial Velocity,70.46,0.25
Radial Velocity,20.8133,0.17
Radial Velocity,4.11377,0.41
Radial Velocity,127.58,4.94
Radial Velocity,778.09998,8.16
Radial Velocity,1123.0,1.52
Radial Velocity,122.1,0.05
Radial Velocity,3090.942,0.35837
Radial Velocity,6.4947,0.96
Radial Velocity,47.84,0.09
Radial Velocity,4.5557,0.62
Radial Velocity,5.8881,0.367
Radial Velocity,120.878,0.03524
Radial Velocity,55.806,0.16
Radial Velocity,1032.3,1.487
Radial Velocity,199.505,8.3
Radial Velocity,1531.0,6.93
Radial Velocity,1888.0,10.13
Transit,9.55237,0.03964
Transit,21.05704,0.04782
Radial Velocity,989.2,0.94
Radial Velocity,3630.0,9.61
Radial Velocity,1075.69,6.383
Radial Velocity,48.056,0.21
Radial Velocity,10.8985,0.261
Radial Velocity,1129.0,3.5
Radial Velocity,437.7,2.414
Radial Velocity,394.48123,1.42
Radial Velocity,1624.0,0.99
Radial Velocity,68.27,0.86
Radial Velocity,7.8543,0.054
Radial Velocity,30.93,0.076
Radial Velocity,5.239891,0.27
Radial Velocity,835.477,11.09
Radial Velocity,1143.0,7.14
Radial Velocity,1056.4,4.4
Radial Velocity,825.9,4.51
Radial Velocity,324.0,2.83
Radial Velocity,663.2,0.36
Radial Velocity,1818.0,0.93
Radial Velocity,610.2,6.3
Radial Velocity,937.70001,1.14
Radial Velocity,4000.0,0.357
Radial Velocity,1121.79,0.825
Radial Velocity,83.9151,10.69
Radial Velocity,493.7,1.1
Radial Velocity,4319.0,0.611
Radial Velocity,1622.1,4.83
Radial Velocity,223.41,0.408
Radial Velocity,670.0,1.4
Radial Velocity,907.0,1.27
Radial Velocity,2621.75,1.926
Radial Velocity,433.70001,5.63
Radial Velocity,25.8,0.174
Radial Velocity,6.1335,2.79
Radial Velocity,1945.0,0.622
Radial Velocity,37.91,0.0788
Radial Velocity,711.0,6.54
Radial Velocity,2082.0,4.5
Radial Velocity,63.33,1.51
Radial Velocity,58.83,2.98
Radial Velocity,1756.2,22.16
Radial Velocity,9.6737,0.02
Radial Velocity,557.04,3.1
Radial Velocity,4.15514,0.055
Radial Velocity,2835.0,7.28
Radial Velocity,133.60001,1.96
Radial Velocity,960.41,0.237
Radial Velocity,262.70862,2.43
Radial Velocity,1708.0,1.812
Radial Velocity,1244.0,0.41
Radial Velocity,453.019,1.769
Radial Velocity,921.538,3.789
Radial Velocity,298.2,0.89
Radial Velocity,1840.0,1.6
Radial Velocity,10.70871,1.15
Radial Velocity,896.0,1.8
Radial Velocity,1951.0,19.12
Radial Velocity,2613.0,3.31
Radial Velocity,471.60001,10.95
Radial Velocity,974.0,5.38
