pl_discmethod,Period[days],Mass[Jupiter Mass]
Radial Velocity,577.20000000,0.93400
Radial Velocity,2149.00000000,3.62000
Radial Velocity,643.25000000,1.67600
Radial Velocity,4205.80000000,1.81400
Radial Velocity,9.63860000,0.03321
Radial Velocity,310.55000000,0.52190
Radial Velocity,75.52300000,0.26000
Radial Velocity,990.00000000,5.10000
Radial Velocity,8.42820000,9.84000
Radial Velocity,75.22030000,0.78360
Radial Velocity,1272.00000000,2.20100
Radial Velocity,17.24000000,0.06960
Radial Velocity,280.17000000,0.44300
Radial Velocity,40.00000000,0.05078
Radial Velocity,641.47200000,1.99792
Radial Velocity,1207.00000000,0.36497
Radial Velocity,75.74000000,0.04090
Radial Velocity,12.45800000,0.01259
Radial Velocity,434.50000000,2.89000
Radial Velocity,270.00000000,6.43000
Radial Velocity,5144.00000000,3.53000
Radial Velocity,420.77000000,1.70000
Radial Velocity,58.11247000,7.65900
Radial Velocity,1749.83000000,17.19300
Radial Velocity,6.40400000,0.27000
Radial Velocity,533.00000000,8.79000
Radial Velocity,225.62000000,2.88000
Radial Velocity,2102.00000000,4.04000
Radial Velocity,1145.00000000,0.66000
Radial Velocity,359.89999000,10.13000
Radial Velocity,550.00000000,2.62000
Radial Velocity,1532.00000000,2.72000
Radial Velocity,21.21663000,3.51000
Radial Velocity,323.60000000,2.70000
Radial Velocity,1290.00000000,8.97000
Radial Velocity,298.43000000,0.59800
Radial Velocity,29.01000000,0.02825
Radial Velocity,623.80000000,0.87000
Radial Velocity,6.48980000,0.01806
Radial Velocity,16.81910000,0.02888
Radial Velocity,44.50500000,0.04751
Radial Velocity,410.10001000,1.69000
Radial Velocity,110.90000000,0.15000
Radial Velocity,71.48400000,8.03000
Radial Velocity,14.47900000,0.08100
Radial Velocity,3.09251400,0.91600
Radial Velocity,213.72000000,2.19400
Radial Velocity,2278.00000000,3.18000
Radial Velocity,396.03000000,20.13000
Radial Velocity,105.91100000,0.03843
Radial Velocity,510.90000000,1.68500
Radial Velocity,7462.05750000,8.37000
Radial Velocity,564.10000000,2.54000
Radial Velocity,9.37430000,0.02000
Radial Velocity,962.00000000,0.64000
Radial Velocity,2172.00000000,0.54000
Radial Velocity,956.00000000,0.40000
Radial Velocity,626.51599000,3.95000
Radial Velocity,3070.00000000,3.57000
Radial Velocity,6.83776000,1.01000
Radial Velocity,1019.74000000,0.83600
Radial Velocity,3.09658280,0.52300
Radial Velocity,3810.00000000,1.99000
Radial Velocity,766.00000000,3.40000
Radial Velocity,461.20000000,1.50000
Radial Velocity,2.21857567,1.13000
Radial Velocity,11.72000000,0.05179
